,Type,N-clusters,Train time,accuracy,adj_rand,adj_mutual_info,v_measure,completeness,fowlkes_mallows,Q1,Q2,Q1/Q2
0,KMeans,2,0.2832329273223877,0.05945730247406225,0.628582393493572,0.4304315818921269,0.4307779741649461,0.39889151242272597,0.9316885558128357,3.8791241967882026,3.28310861469224,1.1815400134582004
1,KMeans,3,0.3900470733642578,0.8451715881883479,0.4914167373852895,0.3902959207373836,0.39089133857741293,0.30907211487135683,0.8904507069380202,3.2238592283630916,6.6194053475366035,0.48703154726169523
2,KMeans,4,0.6915779113769531,0.7350359138068635,0.22692484454428424,0.26292911308210964,0.26366875566273157,0.17630423761538166,0.7475140892054826,2.9111297740940447,9.51335570817773,0.30600451232908515
3,KMeans,5,0.7366943359375,0.4876296887470072,0.12042778819127664,0.20776326184410124,0.20855791005783733,0.12861326186110306,0.5947027083796136,2.5942258982649253,11.70556123608055,0.2216233673844388
4,Agglomerative[ward],2,6.8859357833862305,0.06776819923371648,0.6104645420683343,0.43453664778695694,0.4346006175767479,0.38455787967512245,0.9217212064282908,,,
5,Agglomerative[ward],3,6.530801057815552,0.9235312899106003,0.6338117364799478,0.4972642565181695,0.4973648386567151,0.4038137711127386,0.924890017572931,,,
6,Agglomerative[ward],4,6.460183620452881,0.016602809706257982,0.4201217913404749,0.37164149891104054,0.3717823794520846,0.2607327666845052,0.8433354717708662,,,
7,Agglomerative[ward],5,6.544783115386963,0.8247126436781609,0.4180300368046262,0.360648811586885,0.36083288577744727,0.24918954592694484,0.8420948532788902,,,
8,Agglomerative[complete],2,6.2684690952301025,0.9434067688378033,0.49830287335746665,0.396916675115996,0.3970215542981809,0.5952974419292476,0.9409350823548273,,,
9,Agglomerative[complete],3,6.3339972496032715,0.9379789272030651,0.4723375712314906,0.37122227894097704,0.37142909278159514,0.4904484014606432,0.9350516114000219,,,
10,Agglomerative[complete],4,6.269365549087524,0.09522669220945083,0.41162992886120503,0.2786680792474926,0.278902464962796,0.23694057579445174,0.8906220376324248,,,
11,Agglomerative[complete],5,6.333600759506226,0.883301404853129,0.41737848239739694,0.31697040504458207,0.3172520363135473,0.2608329351744317,0.8911906385482552,,,
12,Agglomerative[average],2,7.678187131881714,0.9439655172413793,0.5059373802504352,0.39839135881898363,0.39849520113714776,0.588868181244119,0.9413785928708126,,,
13,Agglomerative[average],3,6.682604074478149,0.9405332056194126,0.4891998687006224,0.3804944576293905,0.3807043491619627,0.51545091839474,0.9376531807117428,,,
14,Agglomerative[average],4,7.258441925048828,0.9404533844189017,0.488818655221159,0.3798044113777012,0.38007652733519215,0.5131106871366393,0.9375663770180266,,,
15,Agglomerative[average],5,6.739525079727173,0.00590676883780332,0.37135554759879413,0.27252970169253826,0.27284094833683553,0.24663627463178397,0.8939670322583628,,,
16,Spectral,2,61.69933891296387,0.9497126436781609,0.5681250741711784,0.4521418427654907,0.45223276265354395,0.6220501646431876,0.9466070752557901,3.2334846328138056,4.292777854838063,0.7532382858268782
17,Spectral,3,64.81395220756531,0.8783524904214559,0.45263050473962324,0.34372993466565976,0.3438962911414601,0.3344787121985295,0.9144551393397065,3.1028484844300617,7.788470636148491,0.3983899573337114
18,Spectral,4,65.18827700614929,0.9069284802043422,0.5576246301158762,0.43915749754189704,0.43942440657752696,0.5945803094166294,0.9452315806585263,2.458331157003412,12.831747918713116,0.19158193977753543
19,Spectral,5,63.14378070831299,0.8741219667943806,0.03675762423392535,0.031601977959169775,0.032224415602829085,0.043099223338838144,0.8812454895420375,2.2826698154168064,18.671296925698694,0.12225555752771508
20,Mean Shift,5,90.09811997413635,0.872705506783719,0.02663902454629726,0.004202729809175473,0.00722879845235868,0.00885981573941733,0.8730566985773378,2.97748836490862,14.186931053092778,0.20987543773672754
21,FMeans,2,0.26401400566101074,0.9393455706304868,0.6231310515362913,0.4253075846691278,0.42565578436853496,0.39291814532161345,0.9303437433499886,3.8794984414666964,3.2768703196793476,1.183903561324428
22,FMeans,3,0.4425075054168701,0.1340782122905028,0.4914167373852895,0.3902959207373836,0.39089133857741293,0.30907211487135683,0.8904507069380202,3.2238592283630916,6.619405347536605,0.4870315472616951
23,FMeans,4,0.7558033466339111,0.7326416600159616,0.22487980328945448,0.26244238898111943,0.2631805898162143,0.17582352050529612,0.7456845462982162,2.91061275871938,9.508796781486653,0.3060968517474532
24,FMeans,5,0.597832441329956,0.25379090183559455,0.12007013809614646,0.20761597490844796,0.20841039119804558,0.1285081312349559,0.594221454926006,2.5940789035459617,11.703772424605623,0.2216446808289143
25,EM,2,0.1561896800994873,0.8679169992019155,0.40865916269094194,0.3093308521407749,0.30966873549890533,0.24621892389510397,0.8526801802468693,3.536566014791556,2.562157276997655,1.3803079329055539
26,EM,3,0.19045567512512207,0.8300079808459697,0.4134006517254465,0.41575008854374806,0.41621450471135,0.2975150045213886,0.8366594841774722,3.2699400894970374,5.5688957600973765,0.5871792596527
27,EM,4,0.27553415298461914,0.4928172386272945,0.1635750806330304,0.28413498910501694,0.2847093902404825,0.17850333347782985,0.6299646253624126,2.895149699716953,7.437313100019774,0.38927360738776146
28,EM,5,1.1691644191741943,0.4281723862729449,0.10397091347008768,0.23731032082533443,0.237995978915833,0.1433920635577567,0.5330877528931375,2.754200412395662,9.305676119135802,0.29596994104835006
29,KMedoids,2,7.302565097808838,0.6033519553072626,0.04215844136255188,0.12460136260245167,0.12494973192277134,0.0906182991039903,0.6603981677144837,2.8219025568220193,1.8198426119608553,1.550630004086704
30,KMedoids,3,5.793420314788818,0.024341580207501996,0.18811923731470676,0.30209633665892205,0.3025589862416528,0.20377511025369666,0.6881082528169422,2.866339687991715,5.735063954595513,0.49979210531643925
31,KMedoids,4,5.55103611946106,0.01596169193934557,0.21123317105981712,0.26569456945317677,0.26636561814790405,0.17439189603541222,0.7074992670339127,2.7484117382699953,9.005562128899795,0.30519046994857246
32,KMedoids,5,8.378945589065552,0.436951316839585,0.11167232825419877,0.20750667783372367,0.20825637478029452,0.12754310918013995,0.5627363671452067,2.4411648850315664,10.900849766998382,0.22394262256709888
33,Affinity Propagation,254,103.61282348632812,0.004788507581803671,0.0026352223277080035,0.08626359771398162,0.10332299083225158,0.05489667424959362,0.08847672285787014,,645.1051752362482,
34,Affinity Propagation,253,91.3050491809845,0.0051875498802873106,0.0026397633200574604,0.08549050101670126,0.10251066954636633,0.05446625466497063,0.08850039128358866,,639.0208169381768,
35,Affinity Propagation,2,20.99064350128174,0.815243415802075,-0.0658513409911356,0.015763812731150934,0.016399349304650333,0.017068473735428587,0.8184364406533736,2.8048130425614044,2.225423969887467,1.2603499739886577
